Date,ABSA_ABSBINA SJ EQUITY_price
9/6/2018,100.03
9/7/2018,100.2
9/10/2018,99.8
9/11/2018,99.95
9/12/2018,99.88
9/13/2018,100.41
9/18/2018,99.95
9/19/2018,100.67
9/20/2018,100.73
9/21/2018,100.61
9/25/2018,100.2
9/26/2018,100.55
9/27/2018,100.95
9/28/2018,100.98
10/1/2018,101.01
10/2/2018,100.14
10/3/2018,100.22
10/4/2018,99.69
10/5/2018,99.41
10/8/2018,99.73
10/9/2018,99.66
10/10/2018,100.06
10/11/2018,99.8
10/12/2018,99.98
10/15/2018,100.11
10/16/2018,100.24
10/17/2018,100.51
10/18/2018,100.57
10/19/2018,100.27
10/22/2018,100.46
10/23/2018,100.58
10/24/2018,100.2
10/25/2018,99.61
10/26/2018,99.62
10/29/2018,99.66
10/30/2018,99.18
10/31/2018,98.66
11/1/2018,99.09
11/2/2018,99.79
11/5/2018,99.99
11/6/2018,100.45
11/7/2018,101
11/8/2018,100.52
11/9/2018,100.25
11/12/2018,100.08
11/13/2018,99.95
11/14/2018,100.44
11/15/2018,100.4
11/16/2018,100.74
11/19/2018,101.11
11/20/2018,100.92
11/21/2018,101.22
11/22/2018,101.75
11/23/2018,102.32
11/26/2018,102.22
11/27/2018,101.97
11/28/2018,101.53
11/29/2018,102.5
11/30/2018,102.5
12/3/2018,102.66
12/4/2018,102.7
12/5/2018,102.08
12/6/2018,101.35
12/7/2018,101.26
12/10/2018,100.77
12/11/2018,100.71
12/12/2018,100.58
12/13/2018,100.5
12/14/2018,100.32
12/18/2018,100.85
12/19/2018,101.15
12/20/2018,101.78
12/21/2018,101.67
12/24/2018,101.85
12/27/2018,102.26
12/28/2018,102.76
12/31/2018,102.92
1/2/2019,100.73
1/3/2019,101.45
1/4/2019,102.17
1/7/2019,102.37
1/8/2019,101.92
1/9/2019,102
1/10/2019,102.35
1/11/2019,102.49
1/14/2019,102.05
1/15/2019,102.08
1/16/2019,102.31
1/17/2019,102.27
1/18/2019,101.55
1/21/2019,101.37
1/22/2019,101.73
1/23/2019,101.7
1/24/2019,102.17
1/25/2019,102.82
1/28/2019,102.63
1/29/2019,102.59
1/30/2019,102.79
1/31/2019,103.95
2/1/2019,104.17
2/4/2019,103.53
2/5/2019,104.01
2/6/2019,103.85
2/7/2019,103.61
2/8/2019,103.8
2/11/2019,102.93
2/12/2019,102.47
2/13/2019,102.13
2/14/2019,101.83
2/15/2019,102.16
2/18/2019,102.36
2/19/2019,102.11
2/20/2019,102.01
2/21/2019,102.56
2/22/2019,102.94
2/25/2019,103.41
2/26/2019,103.54
2/27/2019,104.11
2/28/2019,103.71
3/1/2019,103.29
3/4/2019,103.43
3/5/2019,104.01
3/6/2019,103.94
3/7/2019,103.76
3/11/2019,104.26
3/12/2019,104.22
3/13/2019,104.15
3/14/2019,103.45
3/15/2019,103.93
4/2/2019,103.73
4/3/2019,103.27
4/4/2019,103.21
4/5/2019,103.49
4/8/2019,103.43
4/9/2019,103.67
4/10/2019,103.96
4/11/2019,103.69
4/12/2019,103.63
4/15/2019,103.75
4/16/2019,103.18
4/17/2019,103.81
4/18/2019,104
4/23/2019,103.56
4/24/2019,103.32
4/25/2019,102.77
4/26/2019,103.21
4/29/2019,103.47
4/30/2019,103.44
5/2/2019,102.95
5/3/2019,103.02
5/6/2019,103.21
5/7/2019,103.19
5/9/2019,103.43
5/10/2019,104.2
5/13/2019,103.68
5/14/2019,103.85
5/15/2019,104.48
5/16/2019,104.07
5/17/2019,103.55
5/20/2019,103.79
5/21/2019,103.9
5/22/2019,104.5
5/23/2019,104.44
5/24/2019,104.65
5/27/2019,104.27
5/28/2019,104.04
5/29/2019,103.69
5/30/2019,103.69
5/31/2019,103.92
6/3/2019,104.45
6/4/2019,103.99
6/5/2019,103.79
6/6/2019,103.64
6/7/2019,103.4
6/10/2019,103.84
6/11/2019,104.6
6/12/2019,104.33
6/13/2019,104.09
6/14/2019,104.23
6/18/2019,104.84
6/19/2019,105.49
6/20/2019,106.12
6/21/2019,105.36
6/24/2019,104.81
6/25/2019,104.88
6/26/2019,105.26
6/27/2019,105.72
6/28/2019,106.38
7/1/2019,103.97
7/2/2019,103.76
7/3/2019,104.33
7/4/2019,104.72
7/5/2019,104.29
7/8/2019,104.74
7/9/2019,104.75
7/10/2019,104.44
7/11/2019,105.1
7/12/2019,104.52
7/15/2019,104.89
7/16/2019,104.94
7/17/2019,105.05
7/18/2019,105.68
7/19/2019,105.51
7/22/2019,105.68
7/23/2019,105.28
7/24/2019,104.99
7/25/2019,104.34
7/26/2019,103.15
7/29/2019,103.44
7/31/2019,103.35
8/1/2019,103.26
8/2/2019,103.43
8/6/2019,103.31
8/7/2019,103.31
8/8/2019,103.19
8/12/2019,102.58
8/13/2019,102.95
8/14/2019,102.58
8/15/2019,102.87
8/16/2019,103.11
8/19/2019,102.78
8/20/2019,103.07
8/21/2019,103.96
8/22/2019,103.89
8/23/2019,103.86
8/26/2019,104.07
8/27/2019,104.43
8/28/2019,104.56
8/30/2019,104.3
9/2/2019,104.83
9/3/2019,105.04
9/4/2019,105.54
9/5/2019,105.32
9/6/2019,105.2
9/9/2019,105.34
9/10/2019,105.38
9/11/2019,105.28
9/12/2019,106.02
9/13/2019,105.73
9/16/2019,105.18
9/17/2019,104.9
9/18/2019,105.26
9/19/2019,105.39
9/20/2019,105
9/23/2019,105.06
9/25/2019,104.47
9/26/2019,104.83
9/27/2019,104.92
9/30/2019,104.81
10/1/2019,102.38
10/2/2019,102.86
10/3/2019,103.15
10/4/2019,103.61
10/7/2019,103.46
10/8/2019,103.02
10/9/2019,103.38
10/10/2019,103.49
10/11/2019,103.39
10/14/2019,103.62
10/15/2019,103.58
10/16/2019,103.24
10/17/2019,103.57
10/18/2019,103.57
10/21/2019,103.37
10/22/2019,103.87
10/23/2019,103.9
10/24/2019,103.87
10/25/2019,104.26
10/29/2019,104.01
